features,label
where is jntu metro,1
where is jntu main gate,1
where is my home,0
find the direction to delhi,0
locate spandana building,1
show me science block,1
show me directions for cse department,1
find the route for lulu mall,0
find the directions for main entrance,1
find the location of ece department,1
where is the temple in jntuh,1
where is the metro station in kukatpally,0
where can i find the boys hostel,1
show me directions for spandana building,1
locate cse block,1
where is metro station,0
give me the directions for my home,0
give me the route to go to charminar,0
find my friend's house,0
where can i party in hyderabad,0
where is the sports complex in jntu,1
jntu administration block directions,1
show me the route for admissions block,1
where is department of mechanical engineering,1
where can i buy sports materials in hyderbad,0
where is chemical engineering department,1
how far in jntu college from jntu metro,1
jntu metro station directions from airport,0
find the best restaurants mearby,0
where can i go for a walk in the city,0
where is jntu metallurgical department,1
how can i reach the main gate,1
how far to go till cse department,1
how to go to my firends party,0
sit building directions,1
examinations branch directions,1
where is the examinations branch,1
give me directions for jntu back gate,1
show me malls direction,0
where is jn auditorium,1
where are the hostels in the college,1
where can i find boys hostel,1
boys hostel,1
girls hostel,1
show me ugc block,1
how do i derive block's theorem,0
how to reach hyderabad airport,0
show me international hostels,1
take me to cse department,1
